FirstID,SecondID,ThirdID,LogTime,Point,SomeDouble
111,2222,0,2019-01-05 17:36:44.0,46.3,1.149748017E9,
111,2222,0,2019-01-05 17:37:08.0,46.3,1.149748017E9,
111,2222,0,2019-01-05 19:24:05.0,46.3,1.149748017E9,
111,2222,0,2019-01-06 16:12:06.0,-1604.0,9.19248096E8,
111,2222,0,2019-01-07 12:15:29.0,-1604.0,9.19248096E8,
111,2222,0,2019-01-07 12:49:05.0,-1604.0,9.19248096E8,
111,2222,0,2019-01-07 19:00:05.0,-1604.0,9.19248096E8,
111,2222,0,2019-01-07 19:03:13.0,-1604.0,9.19248096E8,
111,2222,0,2019-01-07 21:08:32.0,-238.4,1.193961129E9,
111,2222,0,2019-01-09 13:18:33.0,-1000.0,2.12825983E9,
111,2222,0,2019-01-09 13:39:10.0,46.3,1.149748017E9,
111,2222,0,2019-01-09 21:40:00.0,46.3,1.149748017E9,

